Sr_No,Date,Startup_Name,Industry_Vertical,SubVertical,City,Investors_Name,InvestmentnType,Amount_in_USD,Remarks,
1834,04/03/2016,Civilsdaily,Consumer Internet,Civil Services News Aggregator,New Delhi,Manoj Kumar & Other undisclosed investors,Seed Funding,N/A,nan,
1835,04/03/2016,Zappka,Consumer Internet,Mobile App discovery and review platform,Gurgaon,"Daman Soni, Rajat Gupta & Others",Seed Funding,"1,00,000",nan,
1838,07/03/2016,N.O.W,Consumer Internet,Bike Taxi Service & Hyperlocal Delivery App,Noida,"Ruchirans Jaipuria, Anuj Sanghi",Seed Funding,"5,00,000",nan,
1840,07/03/2016,Reach,Consumer Internet,Cross Platform P2P file sharing mobile app,Bangalore,"Rebright Partners, Sol Primero, Sudhir Anandarao, Ankur Warikoo, Ankur Singla",Seed Funding,"5,00,000",nan,
1841,07/03/2016,Vanity Cube,Consumer Internet,Hyperlocal Beauty Services platform,New Delhi,Unicorn Ventures,Seed Funding,"2,50,000",nan,
1843,07/03/2016,Medidaili,Consumer Internet,Medical Support service platform,Bangalore,Undisclosed private investors,Seed Funding,"1,00,000",nan,
1845,08/03/2016,Cookaroo,Consumer Internet,Food Delivery Platform,Bangalore,Vijay Krishna Yadav,Seed Funding,N/A,nan,
1847,08/03/2016,LoveCycles,Consumer Internet,Women\\xe2\\x80\\x99s health Tracker,Bangalore,Prime Venture Partners,Seed Funding,"7,50,000",nan,
1849,08/03/2016,dunzo,Consumer Internet,Daily Task Management App,Bangalore,"Aspada Investment Advisors, Blume Ventures.",Seed Funding,"6,50,000",nan,
1853,09/03/2016,Nukkad Shops,Consumer Internet,Hyperlocal Grocery Delivery Service,Hyderabad,PurpleTalk Inc,Seed Funding,"10,00,000",nan,
1854,09/03/2016,Cloudacar,Consumer Internet,Carpooling Mobile App,Pune,"Amit Choudhary, Anuj Puri",Seed Funding,N/A,nan,
1855,09/03/2016,Justride,Consumer Internet,Self Drive Car Rental,Mumbai,Dheeraj Jain & Other angel investors,Seed Funding,"4,00,000",nan,
1856,09/03/2016,Yana,Consumer Internet,Personal AI Transaction Engine App,Gurgaon,"Puneet Gupta,",Seed Funding,N/A,nan,
1864,14/03/2016,eSwasthya,Consumer Internet,Online Medicine Delivery Aggregator,Ahmedabad,Hemang Sahani,Seed Funding,N/A,nan,
1865,15/03/2016,FlipClass,Consumer Internet,Tutor Search Platform,Bangalore,"S Chand and Co Pvt Ltd, Blume Ventures",Private Equity,"10,00,000",nan,
1867,15/03/2016,WithMe,Consumer Internet,Personalized Fashion App,Gurgaon,"Alex Kuruvilla, Pradeep Guha, Saket Dhankar, Rajan Pandhare",Seed Funding,"2,50,000",nan,
1868,16/03/2016,Gapoon,Consumer Internet,Hyperlocal Home Maintenance services,Bangalore,"Chandrashekar Tallapragada, Pankaj Kapoor",Seed Funding,"1,80,000",nan,
1869,16/03/2016,Avagmah,Consumer Internet,Online Education Portal,Bangalore,"Kris Gopalakrishnan, Atul Nishar",Seed Funding,N/A,nan,
1870,16/03/2016,WorkIndia,Consumer Internet,Online Job Board,Mumbai,Beenext,Seed Funding,N/A,nan,
1871,16/03/2016,Wealthy,Consumer Internet,Online Investment management portal,Bangalore,"Zishaan Hayath, Abhishek Goyal, Arjun and Rohan Malhotra, Harpreet Singh Grover, Gagan Dugal",Seed Funding,"2,50,000",nan,
1873,17/03/2016,Qlivery,Consumer Internet,Ondemand Concierge Service,Gurgaon,Swastika Company Ltd,Seed Funding,"2,30,000",nan,
1874,17/03/2016,HealthEnablr,Consumer Internet,Doctor Discovery and booking platform,Mumbai,Undisclosed investors,Seed Funding,"8,00,000",nan,
1875,17/03/2016,Liftiee,Consumer Internet,Car/ bike Pooling App,Mumbai,"Rannvijay Singh, Anita Hassanandani",Seed Funding,"1,08,000",nan,
1877,19/03/2016,goSporto,Consumer Internet,Online Sports discovery and booking platform,New Delhi,Naveen Gupta,Seed Funding,30000,nan,
1878,21/03/2016,OneClickWash,Consumer Internet,Online Laundry & Washing service Booking & Delivery,Gurgaon,Unitus Seed Fund,Seed Funding,N/A,nan,
1879,21/03/2016,Girnar Software,Consumer Internet,Online News Media Network,Jaipur,Google Capital,Private Equity,N/A,nan,
1880,21/03/2016,Room On Call,Consumer Internet,Budget hotel aggregator,Gurgaon,CASHurDRIVE Marketing Pvt Ltd,Private Equity,"20,00,000",nan,
1881,22/03/2016,Byju\\xe2\\x80\\x99s,Consumer Internet,Educational Video Content Creator,Bangalore,"Sequoia India, Sofina",Private Equity,"7,50,00,000",nan,
1883,22/03/2016,DrivoJoy,Consumer Internet,On-demand 2-wheeler Servicing platform,Bangalore,"Indian Angel Network, Tracxn Labs & Others",Seed Funding,"6,00,000",nan,
1885,22/03/2016,LifCare,Consumer Internet,Online Pharmacy portal,Jaipur,"Rajul Garg, Alok Mittal, Kunal Shah, Rishi Mandawat, Dheeraj Jain, Sandeep Tandon, Dexter Angel Circle",Seed Funding,N/A,nan,
1886,22/03/2016,CreditSeva,Consumer Internet,Online Credit management tools,Hyderabad,"Pix Vine Capital, Infocomm Development Authority of Singapore",Seed Funding,"3,60,000",nan,
1887,22/03/2016,CityShor,Consumer Internet,online lifestyle media recommendation portal,Ahmedabad,GAIN,Seed Funding,N/A,nan,
1891,23/03/2016,eKincare,Consumer Internet,Healthcare related solutions,Hyderabad,"BitChemy Ventures, Maheshwari Investments Pvt Ltd, Anshoo Gaur, Rama Krishna Reddy, Sandeep Seerapu",Private Equity,"3,30,000",nan,
1892,23/03/2016,HashLearn,Consumer Internet,Mobile based private tutoring services,,"Bhavish Aggarwal, Binny Bansal,\xc2\xa0 Rajan Anandan, Mekin Maheshwar, Sunil Kalra, Anupam Mittal, Krishna Mehra, Singapore Angel Network",Seed Funding,N/A,nan,
1893,23/03/2016,Wheelstreet,Consumer Internet,Online Bike Rental platform,Bangalore,Broadbean Capital services,Private Equity,"5,00,000",nan,
1894,24/03/2016,Horntell,Consumer Internet,Unified Push Notification service,Gurgaon,"Bharanidharan Viswanathan, Sanjiv Mittal, Shobhit Shukla, Rahul Agarwal",Seed Funding,"1,50,000",nan,
1896,29/03/2016,HealthEminds,Consumer Internet,Online mental healthcare,Bangalore,Robin Utthappa,Seed Funding,N/A,nan,
1897,29/03/2016,Babygogo,Consumer Internet,Child healthcare experts aggregator mobile app,New Delhi,"Rajul Garg, Daljit Singh, Aditya Vij, Kishore Kumar, Shuchin Bajaj",Seed Funding,"3,00,000",nan,
1899,29/03/2016,QikShip,Consumer Internet,Mobile based Logistics provider,New Delhi,undisclosed investors,Seed Funding,"2,00,000",nan,
1900,29/03/2016,FixNix,Consumer Internet,GRC SAAS Platform,Chennai,Jay Vijayan,Seed Funding,"5,00,000",nan,
1903,31/03/2016,SwitchMe,Consumer Internet,Home Loan Rate comparison platform,Mumbai,"Mohandas Pai, Hiro Mashita, Singapore Angel Network, 500 Startups, Rajan Anandan, Ajay Sarupria",Seed Funding,N/A,nan,
1907,02/02/2016,Oust App,Consumer Internet,Competitive Exam Preparation Platform,Bangalore,"T V Mohandas Pai,\xc2\xa0 Aarin Capital",Seed Funding,N/A,nan,
1908,02/02/2016,Strike,Consumer Internet,Mobile Email productivity tool,Bangalore,Multiple investors through Ten Minute Million competition,Seed Funding,22500,nan,
1909,02/02/2016,MaaxMarket,Consumer Internet,Marketing Automation platform,N/A,Multiple investors through Ten Minute Million competition,Seed Funding,22500,nan,
1912,03/02/2016,Mazkara,Consumer Internet,Beauty & Wellness Platform,Pune / Dubai,Dunamis Ventures Pte Ltd.,Seed Funding,"10,00,000",nan,
1914,03/02/2016,Pindropmusic,Consumer Internet,Music Discovery Mobile App,Noida,Green House Ventures (GHV),Seed Funding,"1,00,000",nan,
1915,03/02/2016,Woodpie,Consumer Internet,Book Recommendation Service,Bangalore,Ingram Content Group,Seed Funding,30000,nan,
1920,05/02/2016,Turtlemint,Consumer Internet,online personalized insurance platform,Mumbai,Nexus Venture Partners,Private Equity,N/A,nan,
1923,05/02/2016,American Vision,Consumer Internet,Optical Store Aggregator Platform,Pune,Undisclosed investors,Seed Funding,81000,nan,
1924,05/02/2016,DawaiLelo,Consumer Internet,Healthcare Services & Online Pharmacy Mobile App,Varanasi,Undisclosed investors,Seed Funding,52000,nan,
1928,08/02/2016,iStyleYou,Consumer Internet,Personal Fashion Stylist App,Gurgaon,Green House Ventures (GHV),Seed Funding,"1,00,000",nan,
1929,08/02/2016,AdUrCup,Consumer Internet,Ad Network,New Delhi,Green House Ventures (GHV),Seed Funding,"1,00,000",nan,
1930,08/02/2016,Weddingz,Consumer Internet,online marketplace for wedding venues and vendors,Mumbai,Sixth Sense Ventures,Private Equity,N/A,nan,
1931,08/02/2016,Urban Dhobi,Consumer Internet,On Demand Laundry Services,Jaipur,"Vinod Bansal, Sanjeev Singhal",Seed Funding,N/A,nan,
1932,08/02/2016,Gray Routes,Consumer Internet,Last mile logistics solutions,Mumbai,"Mahesh Parasuraman, Rahul Gautam & Others",Seed Funding,N/A,nan,
1936,09/02/2016,Inc42,Consumer Internet,Startup Focused Media News Portal,New Delhi,"India Ventures, Aarin Capital & Others",Seed Funding,N/A,nan,
1938,10/02/2016,Capzest,Consumer Internet,Digital Lending Platform,Mumbai,Lion Ventures,Seed Funding,"2,00,000",nan,
1939,10/02/2016,GlamStudios,Consumer Internet,Online Salon Aggregator,Noida,Aqeel Ahmed,Seed Funding,N/A,nan,
1940,10/02/2016,Affimity,Consumer Internet,Social Networking platform,Bangalore,undisclosed investors,Seed Funding,"12,00,000",nan,
1943,10/02/2016,Shopkirana,Consumer Internet,Retailer Supply Chain platform,Indore,"Atul Jain, Anil Gelra, Jaikumar Nair",Seed Funding,N/A,nan,
1944,10/02/2016,Stylofie,Consumer Internet,Online Beauty Parlour search & discovery Platform,Gurgaon,Jaideep Mehta,Seed Funding,N/A,nan,
1949,12/02/2016,RKSV,Consumer Internet,Online Stock Trading Platform,Mumbai,Kalaari Capital,Private Equity,"40,00,000",nan,
1950,15/02/2016,Aasaanjobs,Consumer Internet,Online Recruitment Marketplace,Mumbai,"Aspada Advisors, IDG Ventures,\xc2\xa0 Inventus Capital",Private Equity,"50,00,000",nan,
1952,15/02/2016,Jugnoo,Consumer Internet,Transportation & On-demand delivery aggregator,Chandigarh,Saumya Tandon,Private Equity,N/A,nan,
1954,15/02/2016,GoYaNo,Consumer Internet,Events & Restaurant Discovery Marketplace App,Gurgaon,Mukesh Kumar Gupta,Seed Funding,50000,nan,
1955,15/02/2016,RentSher,Consumer Internet,Online Household Product Rental platform,Bangalore,"Vaibhav Doshi, Abhay Singhal, Vibhu Garg, Joby Babu, Abhishek Acharya, Manish Shah",Seed Funding,"3,00,000",nan,
1957,15/02/2016,Legistify,Consumer Internet,Online Legal services platform,New Delhi,Ranjit Singh,Seed Funding,N/A,nan,
1958,16/02/2016,TableHero,Consumer Internet,Dynamic Restaurant Website creator,Bangalore,"GrowX Ventures, Kunal Shah, Sandeep Tandon, Haresh Chawla, Powai Lake Ventures, Globevestor",Seed Funding,"10,00,000",nan,
1962,16/02/2016,Tring,Consumer Internet,Instant Messaging App,Pune,Vishwadeep Bajaj & Others,Seed Funding,N/A,nan,
1963,16/02/2016,Medinfi,Consumer Internet,Doctor & Clinics Discovery platform,Bangalore,"Rajnish Sinha, Prijit Debnath, Kanchan Ghoshal",Seed Funding,N/A,nan,
1964,17/02/2016,Timemytask,Consumer Internet,On-Demand home cleaning services,Mumbai,Lead Angels,Seed Funding,N/A,nan,
1966,17/02/2016,Notary Mama,Consumer Internet,On-demand Legal documentation and registration service,Bangalore,"Dr Nandish Domlur, Amit Sandill",Seed Funding,N/A,nan,
1967,17/02/2016,The Viral Fever,Consumer Internet,Independent Online Video production company,Mumbai,Tiger Global,Private Equity,"1,00,00,000",nan,
1970,18/02/2016,GetVee,Consumer Internet,Matrimony & Couples only mobile platform,New Delhi,"Lightspeed Venture Partners, K Ganesh",Private Equity,N/A,nan,
1971,18/02/2016,HealthKumbh,Consumer Internet,Health related Information portal,Ahmedabad,Undisclosed investor,Seed Funding,73000,nan,
1972,18/02/2016,Unlaze,Consumer Internet,Social Networking app for outdoor interests,Gurgaon,"Sujal Shah, Dino Morea",Seed Funding,N/A,nan,
1977,19/02/2016,Finance Buddha,Consumer Internet,Online Loan Comparison & Discovery platform,Bangalore,Chennai Angels,Seed Funding,N/A,nan,
1978,19/02/2016,AlmaConnect,Consumer Internet,Alumni social network,New Delhi,"Mohandas Pai, Varun Aggarwal",Seed Funding,N/A,nan,
1979,19/02/2016,Advantage Club,Consumer Internet,mobile platform for corporate employee benefits,Gurgaon,Purvi Ventures & Others,Seed Funding,"4,00,000",nan,
1980,19/02/2016,LocalRamu,Consumer Internet,mobile based aggregator for local service providers,Bangalore,3 undisclosed investors,Seed Funding,N/A,nan,
1981,22/02/2016,Baby Berry,Consumer Internet,Parenting Mobile app,Bangalore,Nitin Bagmane & Other undisclosed investors,Seed Funding,"10,00,000",nan,
1982,22/02/2016,Magicpin,Consumer Internet,Hyperlocal Discover Mobile App,New Delhi,Lightspeed India,Private Equity,"30,00,000",nan,
1983,22/02/2016,First Eat,Consumer Internet,Healthy Food Delivery platform,New Delhi,Undisclosed investor,Seed Funding,"1,00,000",nan,
1985,22/02/2016,Taskbob,Consumer Internet,Hyperlocal Handyman services platform,Mumbai,"IvyCap Ventures, Orios Venture Partners, Mayfield India",Private Equity,"45,00,000",nan,
1986,22/02/2016,Styledotme,Consumer Internet,Mobile Fashion App,New Delhi,Indian Angel Network,Seed Funding,37000,nan,
1987,22/02/2016,NewsLaundry,Consumer Internet,Independent News Media Portal,New Delhi,"Omidyar Network,\xc2\xa0 Vikram Lal, Abhijit Bhandari, Mahesh Murthy, Shashank Bhagat",Private Equity,N/A,nan,
1988,23/02/2016,CupoNation,Consumer Internet,Deals and Discount platform,Gurgaon,"Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank",Private Equity,"1,10,00,000",nan,
1990,24/02/2016,Sayfix,Consumer Internet,Hyperlocal Home Services Provider,Bangalore,Yajnanarayana Kammaje,Seed Funding,"1,60,000",nan,
1991,24/02/2016,LoanZen,Consumer Internet,Peer to peer Lending marketplace,Bangalore,Tracxn Syndicate,Seed Funding,N/A,nan,
1992,24/02/2016,NoBroker,Consumer Internet,Peer to peer property listing platform,Bangalore,"Beenext, Digital Garage, Beenos, Qualgro, Mamoru Taniya, SAIF Partners",Private Equity,"1,00,00,000",nan,
1993,24/02/2016,AppilyEver,Consumer Internet,Online wedding services marketplace,Hyderabad,"Varun Aggarwal, Suresh Venkat, Raj Y",Seed Funding,"4,00,000",nan,
1994,24/02/2016,Pocketin,Consumer Internet,Hotel reservations & Deal platform,Noida,Swastika Company Ltd,Seed Funding,"1,50,000",nan,
1995,24/02/2016,FeetApart,Consumer Internet,Employee engagements & Rewards platform,Bangalore,Vishal Bali & Others,Seed Funding,N/A,nan,
1997,25/02/2016,CarveNiche,Consumer Internet,Personalized Learning Solutions & products,Bangalore,"Calcutta Angels, Lead Angels & Others",Seed Funding,N/A,nan,
1998,25/02/2016,Juspay,Consumer Internet,Digital Payments solutions,Bangalore,"Accel Partners, Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",Private Equity,"58,00,000",nan,
2001,26/02/2016,EduBridge,Consumer Internet,Skill development and vocational training platform,Mumbai,"Insitor Impact Asia Fund, Acumen Fund",Private Equity,"25,00,000",nan,
2002,29/02/2016,Nestaway,Consumer Internet,Online Home Rental Marketplace,Bangalore,Ratan Tata,Private Equity,N/A,nan,
2004,29/02/2016,PinClick,Consumer Internet,Online real estate listings,Bangalore,Undisclosed investors,Private Equity,N/A,nan,
2006,01/01/2016,Helpi,Consumer Internet,On Demand Cleaning Services Mobile App,Mumbai,Undisclosed Investors,Seed Funding,N/A,nan,
2013,05/01/2016,360Ride,Consumer Internet,Ride Sharing platform,Bangalore,Undisclosed,Seed Funding,"1,50,000",nan,
2014,05/01/2016,Alef\\nMobitech,Consumer Internet,Cloud Mobility Solutions,Mumbai,Tata Capital Innovation Fund,Private Equity,"50,00,000",nan,
2018,06/01/2016,Zebpay,Consumer Internet,Bitcoin Buying & Selling Mobile App,Ahmedabad,"Arjun Handa, Amit Jindal, Nagendra Chaudhary",Private Equity,"10,00,000",nan,
2022,07/01/2016,PitStop,Consumer Internet,Automobile Service Booking App,Bangalore,Myntra/LivSpace Founders,Seed Funding,N/A,nan,
2023,07/01/2016,Bikxie,Consumer Internet,Two Wheeler Taxi Service,Gurgaon,Undisclosed Investors,Seed Funding,N/A,nan,
2024,07/01/2016,Infurnia,Consumer Internet,Online Furniture Customization platform,Bangalore,Idein Ventures,Seed Funding,"1,60,000",nan,
2026,07/01/2016,MakeMyTrip,Consumer Internet,Online Travel/Hotel Booking platform,Gurgaon,Ctrip.com International Ltd,Private Equity,"18,00,00,000",nan,
2028,08/01/2016,ConfirmTKT,Consumer Internet,Train PNR Status Prediction Platform,Bangalore,"Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others",Seed Funding,"2,50,000",nan,
2030,08/01/2016,FlatFurnish,Consumer Internet,Online Furnishing Rental Platform,Gurgaon,Arun Chandra Mohan,Seed Funding,N/A,nan,
2033,11/01/2016,Wishup,Consumer Internet,Mobile app based Concierge Service,New Delhi,"500 Startups, Mato Peric, TracxnLabs",Seed Funding,N/A,nan,
2034,11/01/2016,FreshMenu,Consumer Internet,Online / Mobile Food Ordering platform,Bangalore,"Zodius Capital, Lightspeed Venture Partners",Private Equity,"1,65,00,000",nan,
2036,11/01/2016,Fashionablyin,Consumer Internet,Mobile based Geo-target Fashion Marketplace,Mumbai,Ranjan Mahtani,Seed Funding,N/A,nan,
2038,12/01/2016,Hike Messenger,Consumer Internet,P2P Messaging Service,New Delhi,"Matt Mullenweg, Adam D\xe2\x80\x99Angelo, Aditya Agarwal,\xc2\xa0 Ruchi Sanghvi & Others",Private Equity,N/A,nan,
2040,12/01/2016,Happy2Refer,Consumer Internet,Mobile based Referral Platform,Mumbai,"Equity Crest, Vinners, Sparknext",Seed Funding,"2,50,000",nan,
2041,13/01/2016,CarTrade,Consumer Internet,Auto Classifieds Portal,Mumbai,"Temasek Holdings, March Capital, Warburg Pincus",Private Equity,"14,50,00,000",nan,
2042,13/01/2016,Rentomo,Consumer Internet,peer-to-peer renting Marketplace,Bangalore,Shiva Ashok & Other unnamed investors,Seed Funding,"1,00,000",nan,
2043,13/01/2016,Roder,Consumer Internet,inter-city cab aggregator,New Delhi,Unicorn India Ventures,Seed Funding,"2,40,000",nan,
2044,13/01/2016,Bucker,Consumer Internet,Food Ordering Mobile App,Hyderabad,"50k Ventures, Munish Jauhar, Pulkit Jain, Rohit Narang",Seed Funding,N/A,nan,
2047,14/01/2016,Snapshopr,Consumer Internet,Visual Search & Image Recognition Platform,Bangalore,Amod Malviya,Seed Funding,N/A,nan,
2049,14/01/2016,Orahi,Consumer Internet,Carpooling Mobile App,Gurgaon,Indian Angel Network,Seed Funding,"5,20,000",nan,
2052,15/01/2016,Fitso,Consumer Internet,Fitness related Social Networking App & Forum,Gurgaon,"Varun Khurana, Samar Singla, Vinay Bansal,",Seed Funding,"2,00,000",nan,
2053,15/01/2016,evibe.in,Consumer Internet,Party Hall Booking platform,Bangalore,"Hyderabad Angels, Lalit Mangal,\xc2\xa0 Vikas Malpani, Gaurav Bhalotia, LV Prasad",Seed Funding,N/A,nan,
2054,15/01/2016,Zoctr,Consumer Internet,healthcare aggregator platform,Mumbai,Times Group,Seed Funding,N/A,nan,
2055,15/01/2016,Jobick,Consumer Internet,Mobile app based Job Search,Noida,Abhinav Mathur,Seed Funding,N/A,nan,
2056,16/01/2016,Plick,Consumer Internet,Instant Content Transfer Mobile App,Mumbai,Sanjay Mehta,Seed Funding,N/A,nan,
2057,18/01/2016,Voice Friends,Consumer Internet,Dating & Singles Chat Platform,Mumbai,Huzaifa Khorakiwala,Seed Funding,N/A,nan,
2058,18/01/2016,Kartrocket,Consumer Internet,SAAS DIY\\xc2\\xa0 ECommerce Platform,New Delhi,"Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding, 500 Startups",Private Equity,"60,00,000",nan,
2059,19/01/2016,Swiggy,Consumer Internet,Online/Mobile food ordering platform,Bangalore,"Harmony Partners, RB Investments & existing investors",Private Equity,"3,50,00,000",nan,
2060,19/01/2016,TinyStep,Consumer Internet,Parenting Social Network,Bangalore,Flipkart,Seed Funding,N/A,nan,
2061,19/01/2016,Cashkaro,Consumer Internet,Coupon & Cashback platform,Gurgaon,Ratan Tata,Private Equity,N/A,nan,
2062,19/01/2016,Gameezop,Consumer Internet,Casual Gaming platform,New Delhi,Anand Chandrasekaran & Others,Seed Funding,N/A,nan,
2065,19/01/2016,CollegeDunia,Consumer Internet,Educational College Search platform,New Delhi,Umang Kumar,Seed Funding,"4,45,000",nan,
2067,20/01/2016,Reddoorz,Consumer Internet,Budget Accomodation Aggregator,New Delhi,500 Startups,Private Equity,N/A,nan,
2071,20/01/2016,Moodoo,Consumer Internet,Social Meeting organizer App,Mumbai / UK,Sa\\xc3\\xafd Business School Seed Fund.,Seed Funding,40000,nan,
2074,21/01/2016,Fisdom,Consumer Internet,Personal Finance Mobile App,Bangalore,Rob Chandra,Seed Funding,"5,00,000",nan,
2075,21/01/2016,Easypolicy,Consumer Internet,Online insurance policy aggregator,Noida,Unilazer Ventures,Private Equity,"22,00,000",nan,
2076,21/01/2016,Housing.com,Consumer Internet,Online Real Estate Portal,Mumbai,SoftBank Corp,Private Equity,"1,50,00,000",nan,
2078,22/01/2016,ShabdaNagari,Consumer Internet,Hindi Language Social Networking Portal,Kanpur,Kanpur Angels & Others,Seed Funding,"2,00,000",nan,
2079,22/01/2016,Little,Consumer Internet,Deal Discovery App,Bangalore,GIC,Private Equity,N/A,nan,
2081,22/01/2016,Qlivery,Consumer Internet,on-demand concierge services,Gurgaon,Chandigarh Angels Funding,Seed Funding,N/A,nan,
2082,22/01/2016,PlexusMD,Consumer Internet,Social Network for Healthcare Professionals,Ahmedabad,"Arihant Patni, Avnish Mehra, Pranay Adhvaryu, Ravi Sampat",Seed Funding,N/A,nan,
2087,25/01/2016,SIFTR Labs,Consumer Internet,Photography curation & Aggregator platform,Mumbai,Venture Catalysts,Seed Funding,"1,50,000",nan,
2088,25/01/2016,Power2SME,Consumer Internet,SME Online Buying Hub,Gurgaon,"Nandan Nilekani, Accel Partners, Kalaari Capital and Inventus Capital",Private Equity,"2,10,00,000",nan,
2098,29/01/2016,BitGiving,Consumer Internet,Crowd Funding Platform,New Delhi,"Harminder Sahni, Krishna Mehra, Sanjay Bakshi",Seed Funding,N/A,nan,
2099,29/01/2016,Qriyo,Consumer Internet,Online Fitness & Educational information Aggregator,Jodhpur,Idein Ventures,Seed Funding,"1,60,000",nan,
2100,29/01/2016,N.O.W,Consumer Internet,Rental Bike Aggregator App,Noida,Maple Capital Advisors,Seed Funding,N/A,nan,
2101,29/01/2016,Aisle,Consumer Internet,Indians focused Matchmaking App,Bangalore,"TermSheet, ah! Ventures",Seed Funding,"1,85,000",nan,
2102,29/01/2016,FreshMenu,Consumer Internet,Fresh Food Delivery platform,Bangalore,"Zodius Technology Fund, Lightspeed Venture Partners",Private Equity,"1,70,00,000",nan,
2105,29/01/2016,TinMen,Consumer Internet,Food Delivery Platform,Hyderabad,Lead Angel Network,Seed Funding,N/A,nan,
2107,30/01/2016,FindUrClass,Consumer Internet,Hobby & Activity Class Aggregator,Mumbai,"Amit Patni, Anirudh Damani, Samir Shah",Seed Funding,N/A,nan,
2108,30/01/2016,DesignBids,Consumer Internet,Interior Design Marketplace,New Delhi,Indian Angel Network,Seed Funding,N/A,nan,
